index,w_out,w_effective,LCOH
4240,1047.7540658566413,1054.2299637497638,0.026203746889934956
4241,1090.1158472278244,1096.3852644896813,0.025196229855152442
4242,994.4002091854112,1001.1277678125277,0.02759365589693359
4243,1838.1879386935054,1839.9598562258077,0.015013792306615347
4244,1096.8040108050138,1103.040279491922,0.025044212480262756
4245,1068.2431763917266,1077.1522856359172,0.02564611847578758
4246,1107.6455587590794,1113.9444195331002,0.02550485054302453
4247,1548.8131821966767,1555.1569206630109,0.027445536070575573
4248,2858.731096558083,2855.8792740464773,0.015284632591197502
4249,3027.339692004718,3022.108527015065,0.014443910613537886
4250,1768.3269076892725,1776.6231837296893,0.024569681307985054
4251,2789.5571283727527,2787.6266420891343,0.015658863625977824
4252,2859.0325897902144,2851.549419754726,0.015307841107790045
4254,2095.367193890677,2097.95542351896,0.013542225737939366
4253,2848.7720250524853,2846.063950918582,0.014996892584822634
4255,2965.2799223331244,2960.9470363012433,0.014742264854269159
4256,5508.995836030888,5473.8326415146375,0.011557433890410435
4257,6201.541272493897,6153.846951762903,0.010280310735279654
4258,5444.499296776566,5411.046574000486,0.01169153841429687
4259,931.7704070856574,967.9816349070829,0.06535605284241663
4260,7391.121992738216,7284.755096054672,0.008684363173133824
4263,6165.338378935991,6112.469135260262,0.007975906784709472
4261,7844.245780118394,7743.978516443802,0.008169374275398697
4262,14137.553017603046,13224.248911925148,0.006636240883243469
4264,2764.1783234036034,2792.587570266035,0.025263467999090346
4265,2212.2941226593343,2246.6400069457914,0.03140264862103283
4266,13145.997153081831,12535.027438859046,0.005628264242754224
4267,1833.64392303853,1871.5764206138388,0.037695733895244485
4268,2151.8820907663667,2179.1959658156197,0.03237453070892967
4269,772.9461087376982,810.4292649821314,0.06015637163389514
4270,2481.9765878158537,2519.466069664914,0.03483249976499089
4271,2211.26215471499,2245.618317542796,0.03141693589018781
4272,3085.3450892818623,3045.9397281723377,0.016353145506057768
4274,3067.2514271668847,3028.4938818655787,0.0164473489201175
4273,2224.1619311316936,2208.50191455702,0.022554064929337085
4275,4093.1357442061935,4004.3928930957886,0.012439013080700912
4278,1587.4383433036812,1583.0151987984516,0.02111921677358782
4276,3014.3547194622943,2977.4501311569793,0.016729313131477644
4277,3309.9447724037814,3272.3786189529765,0.015221556359337666
4279,2565.490213830914,2542.0083658854637,0.01455740574499754
4280,1672.4459430553281,1668.8238513698082,0.013808822507792959
4281,1083.588967799017,1084.259795582873,0.021253663055862872
4282,775.7420616892405,777.7349297898985,0.029630265374042678
4283,1126.2773133663675,1126.7169488353027,0.020452778654087376
4284,1045.072869953577,1044.6317468654445,0.022059919612327675
4287,1073.3735491011482,1074.0980780420966,0.021454737543468508
4285,2331.3077494233607,2317.7501002723466,0.015965934888763286
4286,1479.6563927671104,1478.463771478072,0.02261268878160304
4288,1017.7014716398617,1013.3598362690308,0.09363760853518971
4290,1028.6570567567205,1024.193308920685,0.09264715052067553
4291,3721.7611952862408,3594.104145076786,0.026401180328572863
4289,1127.4656962361307,1121.9267705741704,0.08457645734336308
4292,1062.4734348692318,1057.631001079537,0.08971805058379481
4293,1171.9486615815133,1168.0495291335837,0.08123678772785288
4294,597.594267934382,597.4482863550344,0.12020736321869183
4295,845.7966061401972,842.898725408961,0.0695166261055697
4296,2353.5797060483123,2329.2356277063514,0.01748689800254509
4297,2793.32907048102,2754.1324011450265,0.014789087782657492
4298,722.7552705717143,722.5408660085631,0.05637204449154623
4299,2607.91766980475,2575.572749229007,0.015814387637774097
4300,2490.9440059929752,2452.165089878417,0.016610262503824563
4301,4374.013525638293,4226.27203729861,0.013864577344285119
4303,2801.796861283144,2762.2652381621747,0.014745544809699303
4302,3340.936944400198,3275.586994983081,0.021925133807241648
4304,4712.375734584091,4677.962845557248,0.008108472764872613
4305,2794.130990590641,2795.4011603190984,0.013569120191664032
4306,4746.674280665868,4711.341899037389,0.0080510256188448
4307,7964.409537552545,7774.064736900427,0.004879189408887061
4308,4553.175698342287,4522.878995014968,0.008386502130632707
4309,4828.619590047455,4799.392547989143,0.007903319836627946
4310,2052.4106428276564,2059.019538920577,0.011550755489048901
4311,6798.926484247087,6686.710846588362,0.010931535349726924
4312,5039.2890903284315,5010.54357094914,0.010577873278165681
4314,2157.6052387484074,2176.9759201039597,0.024346109875986482
4313,3749.1826563158415,3750.4313006391503,0.014131946621497993
4315,3793.2574084210646,3793.801336128018,0.013970392820389713
4316,1039.0214970140996,1051.8520217314351,0.05038816663677075
4317,7596.624365614849,7460.87613136655,0.00979724293847708
4318,2120.5551076630436,2130.00588268976,0.011165805425481953
4319,3764.8548577089846,3765.853376527276,0.01407407289900998
4320,1733.7537142141693,1733.2333060241415,0.025198145306946914
4321,1555.3764430929039,1556.4056906596093,0.028060977261993317
4322,1807.7591882305294,1806.5321479025577,0.024175747299456325
4323,3824.3662177188025,3782.489008936192,0.011546435321518484
4324,1726.5448612821676,1726.0912288508155,0.025302408103373215
4327,872.7661224936927,875.2812887729499,0.02311548343596124
4325,1814.2184622759385,1815.917223176137,0.024050801511562105
4326,3400.4855447691343,3368.453632767037,0.019129497359671246
4328,5020.372180879524,4938.213237776829,0.007125282034330977
4329,4207.740668574391,4158.980413636609,0.008460285590539702
4330,2115.338723179317,2111.225930741933,0.016666222952491604
4331,4440.143830298027,4382.9759736972655,0.008027915798759288
4332,4344.422605849464,4278.688594895281,0.008223585634814776
4333,1985.964151291532,1983.4005524470235,0.010200940050901965
4335,4485.914052319647,4426.987811554716,0.00794810457191424
4336,1028.632191596499,984.7100006954199,0.03308720785939689
4334,7143.420752016225,6905.679104071483,0.009330990320155639
4337,1298.517493614762,1205.8341299890778,0.027019723247119674
4338,1020.3949246561509,977.560262935142,0.033329203026737475
4339,307.77717416183594,306.0217107914748,0.1064672973364211
4340,1018.1232247924787,975.5848950786765,0.03339668811867847
4341,1677.9783655269898,1615.1484007373551,0.020172328721845028
4342,608.8081930733009,599.8648854249129,0.03258863377027802
4344,378.5724859302886,377.32104979169037,0.12368604976008385
4343,1238.1718155455058,1159.7725766303447,0.05660514555352747
4345,451.64129676438847,449.81869349700435,0.10375146879122064
4346,1540.6892343950672,1492.7041069203199,0.03126497068219917
4350,368.64770172582627,367.5218795564903,0.05319078441357804
4347,457.3729800018305,455.5119013132961,0.10245473280831674
4348,221.13101802577324,220.36917055979487,0.21177803601796857
4349,740.243817387293,733.5230065263924,0.0894983455529669
4352,783.6387952306366,816.0446559568434,0.043143541937380424
4351,450.2592417830568,448.4463638631988,0.10406896766432219
